onset	duration	trial_index	typeOfSaccade	cueShownAtLeft	intraEnd	isTutorial	isSaccadeExperiment
1412.678		441	prosaccade	True	2541.0	False	True
1415.685		442	prosaccade	True	2147.0	False	True
1419.043		443	prosaccade	True	2480.0	False	True
1422.256		444	prosaccade	False	2340.0	False	True
1425.287		445	prosaccade	True	2175.0	False	True
1428.756		446	prosaccade	False	2600.0	False	True
1431.774		447	prosaccade	True	2153.0	False	True
1434.723		448	prosaccade	False	2081.0	False	True
1437.942		449	prosaccade	False	2350.0	False	True
1440.848		450	prosaccade	True	2036.0	False	True
1444.064		451	prosaccade	False	2357.0	False	True
1447.373		452	prosaccade	False	2447.0	False	True
1450.384		453	prosaccade	False	2126.0	False	True
1453.485		454	prosaccade	True	2220.0	False	True
1456.919		455	prosaccade	True	2581.0	False	True
1459.973		456					
1462.976		457	antisaccade	True	2129.0	False	True
1466.002		458	antisaccade	False	2152.0	False	True
1469.401		459	antisaccade	False	2559.0	False	True
1472.617		460	antisaccade	False	2336.0	False	True
1475.918		461	antisaccade	False	2424.0	False	True
1479.012		462	antisaccade	True	2229.0	False	True
1482.481		463	antisaccade	True	2609.0	False	True
1485.965		464	antisaccade	False	2608.0	False	True
1489.159		465	antisaccade	True	2341.0	False	True
1492.256		466	antisaccade	True	2231.0	False	True
1495.534		467	antisaccade	True	2405.0	False	True
1498.731		468	antisaccade	False	2331.0	False	True
1501.692		469	antisaccade	False	2095.0	False	True
1504.939		470	antisaccade	False	2373.0	False	True
1507.842		471	antisaccade	True	2038.0	False	True
1511.262		472	antisaccade	True	2538.0	False	True
1514.7		473	antisaccade	False	2555.0	False	True
1518.102		474	antisaccade	True	2521.0	False	True
1521.581		475	antisaccade	False	2613.0	False	True
1524.496		476	antisaccade	False	2047.0	False	True
1527.537		477					
1531.01		478	prosaccade	False	2604.0	False	True
1534.252		479	prosaccade	True	2379.0	False	True
1537.594		480	prosaccade	True	2468.0	False	True
1540.955		481	prosaccade	False	2504.0	False	True
1544.157		482	prosaccade	True	2316.0	False	True
1547.46		483	prosaccade	False	2426.0	False	True
1550.42		484	prosaccade	True	2076.0	False	True
1553.385		485	prosaccade	False	2089.0	False	True
1556.76		486	prosaccade	False	2491.0	False	True
1559.793		487	prosaccade	True	2162.0	False	True
1562.935		488	prosaccade	True	2258.0	False	True
1566.329		489	prosaccade	False	2523.0	False	True
1569.731		490	prosaccade	True	2549.0	False	True
