onset	duration	trial_index	typeOfSaccade	cueShownAtLeft	intraEnd	isTutorial	isSaccadeExperiment
0.0	221.141	0					
27.611	27.608	1					
33.993	6.379	2					
162.815	128.818	3					
166.382	3.563	4					
167.818		5					
167.819		6					
196.617		7					
203.77		8					
216.859	13.088	9					
230.007	13.146	10					
235.376	5.365	11					
249.002	13.62	12					
278.331	29.326	13					
289.445	11.11	14					
291.459		15					
296.429	4.969	16					
297.683	0.618	17					
299.106	0.868	18					
300.281	0.608	19					
301.411	0.574	20					
302.569	0.595	21					
303.674	0.536	22					
304.835	0.595	23					
305.874	0.469	24					
306.999	0.557	25					
307.999	0.429	26					
309.058	0.503	27					
312.076	2.959	28					
313.162	0.3	29					
314.484	0.518	30					
315.703	0.439	31					
316.936	0.447	32					
318.187	0.484	33					
319.341	0.374	34					
322.374		35					
325.252		36	prosaccade	False	2047.0	True	True
328.316		37	prosaccade	True	2216.0	True	True
331.633		38	prosaccade	False	2485.0	True	True
334.596		39	prosaccade	True	2134.0	True	True
337.54		40	prosaccade	False	2107.0	True	True
340.46		41	prosaccade	True	2090.0	True	True
343.896		42	prosaccade	True	2601.0	True	True
346.988		43	prosaccade	False	2286.0	True	True
350.26		44	prosaccade	True	2427.0	True	True
353.284		45	prosaccade	True	2194.0	True	True
356.303		46					
359.483		47	antisaccade	True	2343.0	True	True
362.892		48	antisaccade	False	2597.0	True	True
366.02		49	antisaccade	False	2297.0	True	True
369.279		50	antisaccade	True	2454.0	True	True
372.129		51	antisaccade	True	2036.0	True	True
375.411		52	antisaccade	True	2443.0	True	True
378.526		53	antisaccade	False	2279.0	True	True
381.737		54	antisaccade	False	2380.0	True	True
384.677		55	antisaccade	False	2104.0	True	True
387.941		56	antisaccade	False	2406.0	True	True
391.374	3.428	57					
393.377	1.999	58					
396.399		59					
399.853		60	prosaccade	False	2612.0	False	True
403.022		61	prosaccade	True	2322.0	False	True
406.302		62	prosaccade	False	2444.0	False	True
409.576		63	prosaccade	False	2427.0	False	True
412.875		64	prosaccade	False	2475.0	False	True
415.764		65	prosaccade	False	2061.0	False	True
418.764		66	prosaccade	True	2157.0	False	True
421.63		67	prosaccade	True	2031.0	False	True
424.602		68	prosaccade	True	2136.0	False	True
427.93		69	prosaccade	True	2510.0	False	True
431.297		70	prosaccade	False	2532.0	False	True
434.286		71	prosaccade	True	2171.0	False	True
437.354		72	prosaccade	False	2229.0	False	True
440.576		73	prosaccade	False	2384.0	False	True
443.855		74	prosaccade	False	2439.0	False	True
447.072		75	prosaccade	False	2388.0	False	True
450.535		76	prosaccade	True	2621.0	False	True
453.739		77	prosaccade	True	2359.0	False	True
456.636		78	prosaccade	False	2046.0	False	True
459.576		79	prosaccade	True	2108.0	False	True
462.591		80					
465.802		81	antisaccade	True	2373.0	False	True
468.93		82	antisaccade	False	2295.0	False	True
471.862		83	antisaccade	False	2090.0	False	True
474.815		84	antisaccade	False	2118.0	False	True
478.277		85	antisaccade	True	2617.0	False	True
481.673		86	antisaccade	True	2560.0	False	True
484.88		87	antisaccade	True	2358.0	False	True
488.146		88	antisaccade	True	2418.0	False	True
491.17		89	antisaccade	False	2178.0	False	True
494.473		90	antisaccade	True	2472.0	False	True
497.473		91	antisaccade	True	2152.0	False	True
500.666		92	antisaccade	True	2350.0	False	True
503.79		93	antisaccade	True	2289.0	False	True
506.874		94	antisaccade	True	2235.0	False	True
510.186		95	antisaccade	False	2474.0	False	True
513.49		96	antisaccade	True	2462.0	False	True
516.626		97	antisaccade	True	2294.0	False	True
519.719		98	antisaccade	False	2249.0	False	True
522.69		99	antisaccade	True	2122.0	False	True
525.924		100	antisaccade	False	2379.0	False	True
527.94		101					
531.201	3.251	102					
532.703	0.879	103					
533.803	0.529	104					
534.847	0.458	105					
535.865	0.43	106					
536.894	0.464	107					
538.056	0.599	108					
539.174	0.533	109					
540.387	0.641	110					
541.367	0.395	111					
542.408	0.469	112					
543.614	0.607	113					
546.44	2.769	114					
547.708	0.474	115					
549.037	0.533	116					
550.293	0.459	117					
551.455	0.371	118					
552.655	0.412	119					
553.966	0.51	120					
556.999		121					
559.999		122	prosaccade	False	2140.0	False	True
563.158		123	prosaccade	False	2319.0	False	True
566.575		124	prosaccade	False	2580.0	False	True
569.519		125	prosaccade	False	2103.0	False	True
572.827		126	prosaccade	True	2480.0	False	True
576.174		127	prosaccade	False	2503.0	False	True
579.125		128	prosaccade	True	2092.0	False	True
582.516		129	prosaccade	False	2533.0	False	True
585.413		130	prosaccade	True	2062.0	False	True
588.615		131	prosaccade	True	2357.0	False	True
592.031		132	prosaccade	True	2591.0	False	True
595.229		133	prosaccade	True	2378.0	False	True
598.326		134	prosaccade	True	2255.0	False	True
601.23		135	prosaccade	False	2051.0	False	True
604.364		136	prosaccade	True	2290.0	False	True
607.666		137	prosaccade	True	2457.0	False	True
610.832		138	prosaccade	True	2314.0	False	True
614.037		139	prosaccade	False	2371.0	False	True
617.202		140	prosaccade	True	2345.0	False	True
620.572		141	prosaccade	False	2532.0	False	True
623.612		142					
626.992		143	antisaccade	False	2539.0	False	True
630.195		144	antisaccade	False	2351.0	False	True
633.076		145	antisaccade	True	2054.0	False	True
635.976		146	antisaccade	True	2085.0	False	True
639.091		147	antisaccade	True	2273.0	False	True
642.126		148	antisaccade	True	2204.0	False	True
645.027		149	antisaccade	True	2066.0	False	True
648.451		150	antisaccade	True	2573.0	False	True
651.409		151	antisaccade	False	2134.0	False	True
654.636		152	antisaccade	False	2366.0	False	True
657.982		153	antisaccade	False	2522.0	False	True
661.214		154	antisaccade	True	2392.0	False	True
664.621		155	antisaccade	False	2556.0	False	True
667.633		156	antisaccade	True	2184.0	False	True
671.06		157	antisaccade	True	2567.0	False	True
674.022		158	antisaccade	True	2107.0	False	True
677.057		159	antisaccade	True	2189.0	False	True
680.228		160	antisaccade	False	2333.0	False	True
683.215		161	antisaccade	True	2129.0	False	True
686.508		162	antisaccade	True	2434.0	False	True
690.972	4.449	163					
692.995		164					
694.654	1.645	165					
695.831	0.561	166					
696.915	0.494	167					
698.003	0.488	168					
699.123	0.535	169					
700.183	0.466	170					
701.165	0.395	171					
702.166	0.428	172					
703.154	0.4	173					
704.132	0.394	174					
705.1	0.396	175					
706.118	0.446	176					
708.157	1.98	177					
709.398	0.471	178					
710.555	0.354	179					
711.682	0.332	180					
712.867	0.371	181					
713.989	0.307	182					
715.146	0.359	183					
718.173		184					
721.3		185	prosaccade	False	2262.0	False	True
724.288		186	prosaccade	True	2165.0	False	True
727.299		187	prosaccade	True	2149.0	False	True
730.493		188	prosaccade	True	2339.0	False	True
733.845		189	prosaccade	True	2512.0	False	True
736.87		190	prosaccade	False	2173.0	False	True
739.932		191	prosaccade	False	2193.0	False	True
742.894		192	prosaccade	True	2114.0	False	True
746.09		193	prosaccade	True	2330.0	False	True
749.057		194	prosaccade	True	2126.0	False	True
752.049		195	prosaccade	True	2127.0	False	True
755.36		196	prosaccade	False	2460.0	False	True
758.48		197	prosaccade	True	2271.0	False	True
761.44		198	prosaccade	False	2094.0	False	True
764.862		199	prosaccade	True	2587.0	False	True
768.332		200	prosaccade	True	2611.0	False	True
771.661		201	prosaccade	False	2472.0	False	True
774.904		202	prosaccade	True	2377.0	False	True
777.93		203	prosaccade	False	2174.0	False	True
781.18		204	prosaccade	True	2403.0	False	True
784.211		205					
787.392		206	antisaccade	True	2335.0	False	True
790.585		207	antisaccade	True	2331.0	False	True
793.61		208	antisaccade	True	2163.0	False	True
796.678		209	antisaccade	False	2222.0	False	True
800.113		210	antisaccade	True	2586.0	False	True
803.383		211	antisaccade	True	2428.0	False	True
806.638		212	antisaccade	True	2394.0	False	True
809.719		213	antisaccade	False	2234.0	False	True
813.171		214	antisaccade	False	2601.0	False	True
816.579		215	antisaccade	False	2545.0	False	True
819.527		216	antisaccade	False	2083.0	False	True
822.563		217	antisaccade	True	2211.0	False	True
825.763		218	antisaccade	False	2365.0	False	True
829.006		219	antisaccade	True	2380.0	False	True
831.964		220	antisaccade	True	2115.0	False	True
834.93		221	antisaccade	True	2111.0	False	True
838.342		222	antisaccade	False	2555.0	False	True
841.486		223	antisaccade	False	2305.0	False	True
844.621		224	antisaccade	False	2290.0	False	True
847.756		225	antisaccade	False	2283.0	False	True
849.778		226					
852.338	2.541	227					
853.552	0.586	228					
854.71	0.575	229					
855.929	0.631	230					
857.13	0.628	231					
858.263	0.556	232					
859.331	0.497	233					
860.449	0.529	234					
861.68	0.657	235					
862.846	0.593	236					
864.103	0.665	237					
865.433	0.758	238					
867.936	2.44	239					
869.244	0.497	240					
870.431	0.367	241					
871.588	0.359	242					
872.825	0.423	243					
874.008	0.374	244					
875.169	0.348	245					
878.22		246					
881.534		247	prosaccade	True	2439.0	False	True
884.616		248	prosaccade	True	2223.0	False	True
887.643		249	prosaccade	False	2174.0	False	True
890.936		250	prosaccade	True	2464.0	False	True
893.904		251	prosaccade	True	2116.0	False	True
897.0		252	prosaccade	False	2231.0	False	True
900.18		253	prosaccade	True	2316.0	False	True
903.586		254	prosaccade	False	2545.0	False	True
906.722		255	prosaccade	True	2289.0	False	True
909.636		256	prosaccade	False	2067.0	False	True
912.598		257	prosaccade	True	2097.0	False	True
915.936		258	prosaccade	True	2474.0	False	True
918.942		259	prosaccade	True	2155.0	False	True
922.21		260	prosaccade	True	2406.0	False	True
925.291		261	prosaccade	False	2233.0	False	True
928.744		262	prosaccade	True	2598.0	False	True
931.665		263	prosaccade	True	2071.0	False	True
934.667		264	prosaccade	True	2138.0	False	True
938.027		265	prosaccade	False	2507.0	False	True
941.169		266	prosaccade	False	2277.0	False	True
944.199		267					
947.359		268	antisaccade	True	2291.0	False	True
950.766		269	antisaccade	True	2555.0	False	True
953.816		270	antisaccade	True	2203.0	False	True
957.268		271	antisaccade	True	2617.0	False	True
960.557		272	antisaccade	True	2434.0	False	True
963.728		273	antisaccade	False	2295.0	False	True
967.12		274	antisaccade	True	2525.0	False	True
970.531		275	antisaccade	False	2551.0	False	True
973.683		276	antisaccade	True	2309.0	False	True
976.748		277	antisaccade	True	2230.0	False	True
979.649		278	antisaccade	True	2037.0	False	True
982.982		279	antisaccade	True	2479.0	False	True
985.86		280	antisaccade	True	2025.0	False	True
989.211		281	antisaccade	True	2497.0	False	True
992.372		282	antisaccade	True	2297.0	False	True
995.462		283	antisaccade	True	2233.0	False	True
998.747		284	antisaccade	True	2445.0	False	True
1002.156		285	antisaccade	False	2534.0	False	True
1005.499		286	antisaccade	True	2493.0	False	True
1008.454		287	antisaccade	True	2106.0	False	True
1014.271	5.793	288					
1016.312		289					
1018.347		290					
1020.18	1.81	291					
1021.35	0.549	292					
1022.463	0.531	293					
1023.7	0.638	294					
1024.93	0.621	295					
1025.964	0.434	296					
1026.988	0.413	297					
1028.1	0.532	298					
1029.084	0.383	299					
1030.078	0.393	300					
1031.13	0.464	301					
1032.152	0.434	302					
1035.092	2.871	303					
1036.556	0.66	304					
1037.786	0.414	305					
1038.927	0.321	306					
1039.999	0.264	307					
1041.071	0.276	308					
1042.27	0.395	309					
1045.306		310					
1048.737		311	prosaccade	False	2562.0	False	True
1051.745		312	prosaccade	False	2144.0	False	True
1055.068		313	prosaccade	False	2486.0	False	True
1058.353		314	prosaccade	False	2425.0	False	True
1061.34		315	prosaccade	False	2147.0	False	True
1064.553		316	prosaccade	True	2348.0	False	True
1067.83		317	prosaccade	False	2424.0	False	True
1071.111		318	prosaccade	False	2423.0	False	True
1074.446		319	prosaccade	True	2472.0	False	True
1077.554		320	prosaccade	True	2232.0	False	True
1080.684		321	prosaccade	True	2269.0	False	True
