onset	duration	label	start_x	start_y	end_x	end_y	amp	peak_vel	med_vel	avg_vel
0.000	0.600	FIXA	-0.1	0.0	-0.1	0.0	0.052	58.737	20.063	21.811
0.600	0.167	ISAC	-0.1	0.0	1.0	0.0	38.401	402.012	257.259	231.716
0.767	0.033	FIXA	1.0	0.0	1.0	0.0	0.000	3.749	3.749	3.749
0.800	0.200	SACC	1.0	0.0	-0.1	0.0	39.835	583.279	134.610	206.243
1.000	0.100	FIXA	-0.1	0.0	0.0	0.0	3.229	96.882	0.000	32.294
