onset	duration	label	start_x	start_y	end_x	end_y	amp	peak_vel	med_vel	avg_vel
0.000	0.600	FIXA	-0.1	0.0	0.1	0.0	6.297	100.905	12.978	23.468
0.600	0.233	SACC	0.1	0.0	1.1	0.0	36.300	378.291	159.623	155.573
0.833	0.267	FIXA	1.1	0.0	0.9	0.0	5.256	58.310	3.977	19.710
