,trials,presented_point,time_between_samples_mean,time_between_samples_std,sampling_rate_mean,sampling_rate_std,last_time_sample,horizontal_errors_pxs_mean,horizontal_errors_pxs_std,vertical_errors_pxs_mean,vertical_errors_pxs_std,total_errors_pxs_mean,total_errors_pxs_std
0,1.0,"(960.0, 536.0)",50.55555555555556,11.991766722872924,21.05307124358937,5.699556870088024,910,78.35714285714286,51.35257281474686,32.285714285714285,27.434151218166463,91.67122767221251,46.56516496800965
1,1.0,"(541.0, 941.0)",47.78947368421053,11.029047519921015,22.23500864368529,5.9782034964068,908,171.69230769230768,120.22503554417288,136.6153846153846,158.45530234181714,232.42778667897724,183.52514221671555
2,1.0,"(541.0, 536.0)",41.09090909090909,11.41732770401316,25.88279209637349,5.730390807697587,904,95.05882352941177,51.31731801280813,40.470588235294116,36.696077121738334,109.5323851879718,51.543905964649184
3,1.0,"(960.0, 131.0)",45.45,13.384599358964765,24.02866053461238,7.159941790111181,909,53.92307692307692,39.73462264431853,35.07692307692308,36.003122809987,74.83055043895136,37.59710849463564
4,1.0,"(1379.0, 941.0)",47.78947368421053,8.672879369914986,21.794877100506117,4.870540552328686,908,50.84615384615385,29.59169881999434,133.53846153846155,115.29868595195923,150.61772749180193,109.0944905002676
5,1.0,"(541.0, 131.0)",44.095238095238095,13.11089972541844,24.506139401944534,6.2909722490427695,926,159.6,188.09139622357353,119.06666666666666,184.89437224774824,207.44530604740706,257.2543067321341
6,1.0,"(1379.0, 131.0)",45.25,12.316147936753602,23.787857569591317,6.378851671659939,905,94.76923076923077,62.29230579250335,77.15384615384616,55.22519791913018,138.40610390977415,52.03678817522965
7,1.0,"(1379.0, 536.0)",47.68421052631579,14.168358488952352,22.85973203158946,6.58022397700018,906,134.42857142857142,24.40056874546249,259.7857142857143,43.00029662925689,293.801800121695,41.043558250023246
8,1.0,"(960.0, 941.0)",47.78947368421053,12.75922348473911,22.606887139383417,6.629669966076733,908,101.85714285714286,79.9203685309474,96.07142857142857,80.56715414193685,148.3696919829106,102.31990555275547
9,2.0,"(960.0, 536.0)",43.76190476190476,12.708844921117926,24.577662927413165,6.288271738998976,919,163.85714285714286,90.99439318901321,81.0,30.44667469527666,186.09661155453657,89.35991285281555
10,2.0,"(1379.0, 536.0)",46.2,11.685888926393234,22.99048571054096,5.491626182359006,924,56.0,57.472312174356325,32.93333333333333,21.71471595229578,71.3201952029844,53.93171382598742
11,2.0,"(1379.0, 941.0)",45.4,11.804236527620073,23.537080079222385,6.073426924387387,908,49.0,52.952809179494906,128.53333333333333,150.08880334285064,140.64330990315355,156.43505376402115
12,2.0,"(541.0, 536.0)",43.42857142857143,14.907880397936646,25.374328886892954,7.203412919508827,912,191.1875,231.022244261781,39.375,29.668744075204803,206.95959524989422,222.53603850612592
13,2.0,"(960.0, 941.0)",45.75,10.96300597464035,23.154866423033205,5.628899308510441,915,96.15384615384616,125.91685055796887,185.76923076923077,136.40502689031203,217.11619449062044,176.2887175518187
14,2.0,"(960.0, 131.0)",42.333333333333336,13.823145990669602,25.91607558334434,7.243437134223623,889,76.76923076923077,44.09457291942791,116.53846153846153,172.8981983198452,155.98792664985592,164.25776357093542
15,2.0,"(1379.0, 131.0)",45.55,15.438507052173149,33.752231106848264,49.911474732391504,911,61.857142857142854,26.991684282537154,39.714285714285715,52.83319921011324,79.73767005989183,50.64911198479595
16,2.0,"(541.0, 941.0)",43.333333333333336,15.056507320703986,25.60242794042253,7.527312655582418,910,189.53333333333333,159.58482244736047,252.86666666666667,169.47088901112846,331.37061712015407,210.34649377334907
17,2.0,"(541.0, 131.0)",39.52173913043478,8.727116986065262,26.42203242649837,5.14459815230562,909,118.94117647058823,116.29954761342155,82.6470588235294,56.54559968990211,152.91267904247835,119.6588567545951
18,3.0,"(960.0, 131.0)",44.8,14.871449156017043,24.51954525201532,6.717192002599045,896,89.53333333333333,70.20053814291992,72.46666666666667,83.76941897587422,125.1003301998043,97.79045991591711
19,3.0,"(541.0, 536.0)",44.04761904761905,11.548968993258931,24.180778571772258,5.764209101731321,925,57.25,73.39661095718249,185.3125,52.771581781769626,202.61857187891366,68.81788887890629
20,3.0,"(541.0, 941.0)",43.095238095238095,10.35054524399911,24.5348870975346,5.660149963261241,905,128.6,75.94190762242765,197.86666666666667,107.94558299851313,255.21415647167981,89.29912841931294
21,3.0,"(960.0, 941.0)",44.4,12.059850745345068,24.181242766726484,6.300418978805405,888,64.35714285714286,38.34171011697154,129.64285714285714,31.979026928055614,149.3627988848272,33.65429322014949
22,3.0,"(960.0, 536.0)",39.52173913043478,12.335419364110358,27.265410909851866,6.573865468040511,909,296.8666666666667,49.16213538441506,110.66666666666667,65.52421096222541,323.0540135696445,52.185927060948394
23,3.0,"(1379.0, 941.0)",46.89473684210526,14.570679776224383,23.56893167857489,7.512260959535211,891,50.30769230769231,29.269003334808275,100.6923076923077,110.37933517255888,122.38074201204599,103.60034221786128
24,3.0,"(1379.0, 131.0)",40.86363636363637,12.1628923539273,26.44630760621716,6.988022719724791,899,125.75,115.50676387121233,225.1875,276.79984166135284,268.94558766806387,290.0874150560134
25,3.0,"(541.0, 131.0)",45.2,11.12924076476019,23.4731768203753,5.641182504429597,904,89.78571428571429,99.62872403609927,41.214285714285715,35.44045019753673,103.20359192876695,101.44465788300805
26,3.0,"(1379.0, 536.0)",42.714285714285715,12.036226497508249,25.188821327069366,6.496822901052326,897,170.42857142857142,53.67057492001457,270.7142857142857,29.001055575440628,323.1846333820812,40.06753088729141
27,4.0,"(960.0, 941.0)",46.578947368421055,11.815760168759814,22.86666561282296,5.671314232564063,885,147.78571428571428,96.16888312563816,276.2857142857143,184.10068230316202,316.332106581515,203.10078019822961
28,4.0,"(960.0, 131.0)",46.25,12.218326399306903,23.171570586837923,6.040833933755826,925,211.15384615384616,44.40694012607654,71.15384615384616,85.35072092331838,237.62793117619174,49.381218964921814
