trials,first_sample,presented_point,time_between_samples_mean,time_between_samples_std,sampling_rate_mean,sampling_rate_std,sampling_rate_min,sampling_rate_max,last_time_sample,horizontal_errors_pxs_mean,horizontal_errors_pxs_std,vertical_errors_pxs_mean,vertical_errors_pxs_std,total_errors_pxs_mean,total_errors_pxs_std,metadata
1.0,300,"(545.0, 940.5)",45.4,11.275637454263949,23.461831656205824,5.9421969894059,13.698630136986301,33.333333333333336,908,96.93333333333334,103.88677597376012,218.63333333333333,55.69663863785278,248.479675195992,96.69040463162666,"{""name-id"":""Gustavo"",""webcam-id"":""4"",""computer-id"":""3"",""web-browser"":""Opera"",""operating-system"":""Ubuntu""}"
1.0,300,"(545.0, 130.5)",46.78947368421053,10.831624980721577,22.916228153148847,6.7484009975911095,16.39344262295082,35.714285714285715,889,89.92307692307692,86.23265626151823,62.80769230769231,58.56802043565651,123.21317295103823,87.83942173840592,"{""name-id"":""Gustavo"",""webcam-id"":""4"",""computer-id"":""3"",""web-browser"":""Opera"",""operating-system"":""Ubuntu""}"
1.0,300,"(960.0, 940.5)",47.0,10.285400997735117,22.644887257909325,6.391934916804311,15.151515151515152,37.03703703703704,893,93.5,63.028054977809006,122.78571428571429,52.27868805249225,167.8163367698316,48.59892678427209,"{""name-id"":""Gustavo"",""webcam-id"":""4"",""computer-id"":""3"",""web-browser"":""Opera"",""operating-system"":""Ubuntu""}"
1.0,300,"(1375.0, 940.5)",53.294117647058826,12.685168300408497,20.008002409519474,5.610708296538376,13.157894736842104,37.03703703703704,906,71.63636363636364,37.943193729748465,272.8636363636364,128.04564010700727,284.90376156608767,127.48157196610204,"{""name-id"":""Gustavo"",""webcam-id"":""4"",""computer-id"":""3"",""web-browser"":""Opera"",""operating-system"":""Ubuntu""}"
1.0,300,"(960.0, 535.5)",47.73684210526316,17.55545231024181,31.31326823395465,40.3596907182318,12.820512820512821,200.0,907,51.357142857142854,31.499676059234872,128.85714285714286,59.91494822169309,147.27957649808542,46.178743449173595,"{""name-id"":""Gustavo"",""webcam-id"":""4"",""computer-id"":""3"",""web-browser"":""Opera"",""operating-system"":""Ubuntu""}"
1.0,300,"(960.0, 130.5)",51.333333333333336,8.192137151629671,20.171829739935472,4.55940870067757,15.384615384615385,37.03703703703704,924,29.75,19.613452016409553,35.75,20.753011829611623,51.90654469511222,16.858547322184023,"{""name-id"":""Gustavo"",""webcam-id"":""4"",""computer-id"":""3"",""web-browser"":""Opera"",""operating-system"":""Ubuntu""}"
1.0,300,"(545.0, 535.5)",48.63157894736842,16.14151406945128,23.077187747971553,8.053360122459443,11.235955056179776,38.46153846153846,924,75.92857142857143,33.50791864984899,220.28571428571428,47.70471460891856,235.85077010862202,45.42992983578352,"{""name-id"":""Gustavo"",""webcam-id"":""4"",""computer-id"":""3"",""web-browser"":""Opera"",""operating-system"":""Ubuntu""}"
1.0,300,"(1375.0, 130.5)",44.6,12.874004815907131,24.41279014116072,7.175921453160833,13.698630136986301,37.03703703703704,892,40.42857142857143,29.303130709665737,31.214285714285715,31.583061851542627,56.49684490009149,35.680117741527866,"{""name-id"":""Gustavo"",""webcam-id"":""4"",""computer-id"":""3"",""web-browser"":""Opera"",""operating-system"":""Ubuntu""}"
1.0,300,"(1375.0, 535.5)",45.4,10.006997551713502,23.35510482730158,6.173340542965808,15.625,37.03703703703704,908,84.4,44.92631003469273,167.9,31.851321270343973,192.12796717339216,37.8615138342347,"{""name-id"":""Gustavo"",""webcam-id"":""4"",""computer-id"":""3"",""web-browser"":""Opera"",""operating-system"":""Ubuntu""}"
2.0,300,"(960.0, 940.5)",43.38095238095238,10.408221066043765,24.489360306518364,6.094992694509136,15.873015873015873,35.714285714285715,911,102.57142857142857,54.1238187409392,134.35714285714286,106.27515308511819,184.61804899411075,93.34190752225838,"{""name-id"":""Gustavo"",""webcam-id"":""4"",""computer-id"":""3"",""web-browser"":""Opera"",""operating-system"":""Ubuntu""}"
