onset	duration	trial_index	typeOfSaccade	cueShownAtLeft	intraEnd	isTutorial	isSaccadeExperiment
0.0	276.346	0					
25.762	25.759	1					
34.465	8.699	2					
140.678	106.21	3					
149.598	8.916	4					
150.994		5					
150.995		6					
186.572		7					
208.848		8					
222.204	13.352	9					
234.435	12.229	10					
241.115	6.677	11					
249.791	8.672	12					
263.261	13.467	13					
268.101	4.837	14					
270.106		15					
273.714	3.607	16					
274.816	0.494	17					
275.754	0.368	18					
276.63	0.319	19					
277.421	0.233	20					
278.42	0.434	21					
279.118	0.13	22					
280.052	0.363	23					
280.802	0.196	24					
281.69	0.334	25					
282.652	0.395	26					
283.502	0.294	27					
287.247	3.69	28					
289.876	1.828	29					
291.126	0.475	30					
292.343	0.438	31					
293.566	0.444	32					
294.648	0.291	33					
295.756	0.321	34					
298.775		35					
301.971	3.074	36	prosaccade	True	2362.0	True	True
305.248		37	prosaccade	True	2453.0	True	True
308.251		38	prosaccade	False	2179.0	True	True
311.382		39	prosaccade	True	2298.0	True	True
314.789		40	prosaccade	False	2598.0	True	True
318.155		41	prosaccade	True	2522.0	True	True
321.147		42	prosaccade	True	2161.0	True	True
324.159		43	prosaccade	False	2159.0	True	True
327.453		44	prosaccade	True	2464.0	True	True
330.902		45	prosaccade	True	2612.0	True	True
332.91		46					
335.542	2.629	47					
336.689	0.55	48					
337.819	0.564	49					
338.885	0.496	50					
339.929	0.474	51					
340.925	0.435	52					
341.986	0.496	53					
342.87	0.33	54					
343.857	0.403	55					
344.825	0.401	56					
345.786	0.396	57					
346.637	0.294	58					
349.528	2.841	59					
350.973	0.648	60					
352.175	0.423	61					
353.341	0.387	62					
354.509	0.389	63					
355.572	0.281	64					
356.65	0.296	65					
359.659		66					
362.854	3.134	67	antisaccade	True	2384.0	True	True
365.823		68	antisaccade	True	2138.0	True	True
368.839		69	antisaccade	False	2182.0	True	True
372.281		70	antisaccade	True	2617.0	True	True
375.288		71	antisaccade	True	2163.0	True	True
378.477		72	antisaccade	True	2348.0	True	True
381.383		73	antisaccade	False	2067.0	True	True
384.755		74	antisaccade	True	2534.0	True	True
388.126		75	antisaccade	True	2524.0	True	True
391.146		76	antisaccade	False	2182.0	True	True
394.945	3.793	77					
397.366	2.415	78					
400.388		79					
403.646		80	prosaccade	False	2400.0	False	True
406.682		81	prosaccade	True	2209.0	False	True
409.962		82	prosaccade	True	2432.0	False	True
412.882		83	prosaccade	True	2090.0	False	True
416.222		84	prosaccade	True	2521.0	False	True
419.214		85	prosaccade	True	2141.0	False	True
422.415		86	prosaccade	True	2367.0	False	True
425.812		87	prosaccade	False	2539.0	False	True
428.787		88	prosaccade	True	2147.0	False	True
431.779		89	prosaccade	True	2165.0	False	True
434.87		90	prosaccade	True	2249.0	False	True
437.882		91	prosaccade	True	2174.0	False	True
441.241		92	prosaccade	False	2528.0	False	True
444.701		93	prosaccade	False	2618.0	False	True
447.798		94	prosaccade	False	2249.0	False	True
450.864		95	prosaccade	False	2253.0	False	True
454.274		96	prosaccade	True	2568.0	False	True
457.529		97	prosaccade	True	2418.0	False	True
460.907		98	prosaccade	True	2541.0	False	True
463.856		99	prosaccade	True	2103.0	False	True
466.863		100					
469.935		101	antisaccade	True	2250.0	False	True
473.338		102	antisaccade	False	2583.0	False	True
476.571		103	antisaccade	True	2397.0	False	True
479.682		104	antisaccade	False	2290.0	False	True
482.917		105	antisaccade	True	2403.0	False	True
486.286		106	antisaccade	False	2533.0	False	True
489.653		107	antisaccade	False	2526.0	False	True
492.631		108	antisaccade	False	2131.0	False	True
