onset	duration	trial_index	trial-tag	center_x	center_y	start-x	start-y
390.916		194	validation-stimulus	960.0	536.0	-418.0	405.0
392.971		195	fixation-stimulus	960.0	536.0	0.0	0.0
393.924		196	validation-stimulus	960.0	536.0	-418.0	405.0
394.876		197	validation-stimulus	960.0	536.0	0.0	0.0
395.83		198	validation-stimulus	960.0	536.0	-418.0	-405.0
396.784		199	validation-stimulus	960.0	536.0	0.0	-405.0
397.724		200	validation-stimulus	960.0	536.0	418.0	-405.0
398.685		201	validation-stimulus	960.0	536.0	418.0	405.0
399.629		202	validation-stimulus	960.0	536.0	0.0	405.0
400.575		203	validation-stimulus	960.0	536.0	-418.0	0.0
401.524		204	validation-stimulus	960.0	536.0	418.0	0.0
404.371	2.834	205					
405.802	0.802	206		960.0	536.0		
407.079	0.696	207		960.0	536.0		
408.402	0.763	208		960.0	536.0		
409.797	0.814	209		960.0	536.0		
411.147	0.776	210		960.0	536.0		
412.514	0.796	211		960.0	536.0		
413.798	0.716	212		960.0	536.0		
415.267	0.898	213		960.0	536.0		
416.633	0.796	214		960.0	536.0		
417.906	0.703	215		960.0	536.0		
419.322	0.852	216		960.0	536.0		
420.6	0.712	217		960.0	536.0		
422.135	0.964	218		960.0	536.0		
423.379	0.66	219		960.0	536.0		
425.035	1.092	220		960.0	536.0		
426.437	0.831	221		960.0	536.0		
427.773	0.766	222		960.0	536.0		
429.139	0.799	223		960.0	536.0		
433.818	4.623	224					
435.833		225	fixation-stimulus	960.0	536.0	0.0	0.0
436.785		226	validation-stimulus	960.0	536.0	418.0	0.0
437.728		227	validation-stimulus	960.0	536.0	0.0	405.0
438.688		228	validation-stimulus	960.0	536.0	-418.0	405.0
439.637		229	validation-stimulus	960.0	536.0	418.0	-405.0
440.59		230	validation-stimulus	960.0	536.0	418.0	405.0
441.535		231	validation-stimulus	960.0	536.0	-418.0	-405.0
442.485		232	validation-stimulus	960.0	536.0	-418.0	0.0
443.431		233	validation-stimulus	960.0	536.0	0.0	-405.0
444.379		234	validation-stimulus	960.0	536.0	0.0	0.0
446.438		235	fixation-stimulus	960.0	536.0	0.0	0.0
447.371		236	validation-stimulus	960.0	536.0	-418.0	405.0
448.312		237	validation-stimulus	960.0	536.0	418.0	0.0
449.258		238	validation-stimulus	960.0	536.0	0.0	-405.0
450.216		239	validation-stimulus	960.0	536.0	418.0	-405.0
451.173		240	validation-stimulus	960.0	536.0	418.0	405.0
452.111		241	validation-stimulus	960.0	536.0	-418.0	-405.0
453.036		242	validation-stimulus	960.0	536.0	0.0	0.0
453.984		243	validation-stimulus	960.0	536.0	-418.0	0.0
454.924		244	validation-stimulus	960.0	536.0	0.0	405.0
456.981		245	fixation-stimulus	960.0	536.0	0.0	0.0
457.903		246	validation-stimulus	960.0	536.0	-418.0	-405.0
458.846		247	validation-stimulus	960.0	536.0	418.0	0.0
459.77		248	validation-stimulus	960.0	536.0	418.0	-405.0
460.714		249	validation-stimulus	960.0	536.0	0.0	405.0
461.637		250	validation-stimulus	960.0	536.0	418.0	405.0
462.557		251	validation-stimulus	960.0	536.0	0.0	-405.0
463.51		252	validation-stimulus	960.0	536.0	-418.0	0.0
464.451		253	validation-stimulus	960.0	536.0	-418.0	405.0
465.375		254	validation-stimulus	960.0	536.0	0.0	0.0
467.441		255	fixation-stimulus	960.0	536.0	0.0	0.0
468.376		256	validation-stimulus	960.0	536.0	-418.0	0.0
469.325		257	validation-stimulus	960.0	536.0	418.0	0.0
470.279		258	validation-stimulus	960.0	536.0	0.0	-405.0
471.22		259	validation-stimulus	960.0	536.0	0.0	0.0
472.177		260	validation-stimulus	960.0	536.0	418.0	-405.0
473.109		261	validation-stimulus	960.0	536.0	418.0	405.0
474.052		262	validation-stimulus	960.0	536.0	-418.0	-405.0
474.98		263	validation-stimulus	960.0	536.0	0.0	405.0
475.932		264	validation-stimulus	960.0	536.0	-418.0	405.0
477.974		265	fixation-stimulus	960.0	536.0	0.0	0.0
478.918		266	validation-stimulus	960.0	536.0	-418.0	-405.0
479.883		267	validation-stimulus	960.0	536.0	0.0	-405.0
480.832		268	validation-stimulus	960.0	536.0	0.0	405.0
481.784		269	validation-stimulus	960.0	536.0	-418.0	405.0
482.725		270	validation-stimulus	960.0	536.0	-418.0	0.0
483.672		271	validation-stimulus	960.0	536.0	418.0	405.0
484.626		272	validation-stimulus	960.0	536.0	418.0	0.0
485.573		273	validation-stimulus	960.0	536.0	418.0	-405.0
486.521		274	validation-stimulus	960.0	536.0	0.0	0.0
488.583		275	fixation-stimulus	960.0	536.0	0.0	0.0
489.539		276	validation-stimulus	960.0	536.0	0.0	405.0
490.486		277	validation-stimulus	960.0	536.0	0.0	-405.0
491.424		278	validation-stimulus	960.0	536.0	-418.0	0.0
492.378		279	validation-stimulus	960.0	536.0	-418.0	405.0
493.335		280	validation-stimulus	960.0	536.0	418.0	-405.0
494.272		281	validation-stimulus	960.0	536.0	418.0	405.0
495.22		282	validation-stimulus	960.0	536.0	0.0	0.0
496.158		283	validation-stimulus	960.0	536.0	418.0	0.0
497.089		284	validation-stimulus	960.0	536.0	-418.0	-405.0
499.152		285	fixation-stimulus	960.0	536.0	0.0	0.0
500.109		286	validation-stimulus	960.0	536.0	0.0	405.0
501.04		287	validation-stimulus	960.0	536.0	-418.0	0.0
501.998		288	validation-stimulus	960.0	536.0	0.0	0.0
502.949		289	validation-stimulus	960.0	536.0	-418.0	-405.0
503.897		290	validation-stimulus	960.0	536.0	418.0	405.0
504.847		291	validation-stimulus	960.0	536.0	418.0	-405.0
505.8		292	validation-stimulus	960.0	536.0	-418.0	405.0
506.755		293	validation-stimulus	960.0	536.0	0.0	-405.0
507.708		294	validation-stimulus	960.0	536.0	418.0	0.0
509.75		295	fixation-stimulus	960.0	536.0	0.0	0.0
510.694		296	validation-stimulus	960.0	536.0	0.0	0.0
