onset	duration	trial_index	typeOfSaccade	cueShownAtLeft	intraEnd	isTutorial	isSaccadeExperiment
0.0	55.192	0					
16.6	16.596	1					
41.045	24.443	2					
138.401	97.353	3					
147.001	8.597	4					
147.037		5					
147.038		6					
170.61		7					
189.627		8					
218.198	28.568	9					
226.748	8.548	10					
229.521	2.77	11					
236.77	7.245	12					
253.099	16.327	13					
258.038	4.937	14					
260.044		15					
266.559	6.514	16					
267.577	0.415	17					
268.629	0.467	18					
269.612	0.424	19					
270.549	0.371	20					
271.598	0.467	21					
272.388	0.226	22					
273.526	0.551	23					
274.663	0.546	24					
275.631	0.396	25					
276.593	0.395	26					
277.561	0.416	27					
288.386	10.767	28					
289.342	0.146	29					
290.685	0.545	30					
291.9	0.43	31					
293.049	0.362	32					
294.149	0.311	33					
295.228	0.292	34					
298.256		35					
301.375	0.096	36	prosaccade	False	2312.0	True	True
304.597		37	prosaccade	True	2393.0	True	True
307.611		38	prosaccade	False	2181.0	True	True
310.592		39	prosaccade	False	2128.0	True	True
313.505		40	prosaccade	False	2085.0	True	True
316.448		41	prosaccade	True	2088.0	True	True
319.402		42	prosaccade	True	2106.0	True	True
322.42		43	prosaccade	True	2169.0	True	True
325.797		44	prosaccade	False	2527.0	True	True
329.186		45	prosaccade	True	2534.0	True	True
332.193		46					
335.647		47	antisaccade	True	2602.0	True	True
339.051		48	antisaccade	False	2587.0	True	True
342.229		49	antisaccade	True	2336.0	True	True
345.201		50	antisaccade	False	2127.0	True	True
348.57		51	antisaccade	False	2539.0	True	True
351.624		52	antisaccade	False	2219.0	True	True
354.603		53	antisaccade	False	2137.0	True	True
357.552		54	antisaccade	True	2098.0	True	True
360.556		55	antisaccade	True	2171.0	True	True
363.539		56	antisaccade	False	2135.0	True	True
372.379	8.836	57					
379.128	6.744	58					
381.143		59					
382.417	1.27	60					
383.924	0.896	61					
384.955	0.446	62					
385.907	0.357	63					
386.824	0.359	64					
387.791	0.395	65					
388.672	0.31	66					
390.125	0.897	67					
391.034	0.338	68					
391.957	0.349	69					
392.841	0.29	70					
393.723	0.302	71					
397.181	3.404	72					
398.101	0.115	73					
399.239	0.353	74					
400.31	0.278	75					
401.403	0.32	76					
402.482	0.296	77					
403.515	0.233	78					
405.523		79					
406.765	1.237	80					
407.923	0.552	81					
408.907	0.424	82					
409.801	0.33	83					
410.67	0.276	84					
411.63	0.395	85					
412.531	0.343	86					
413.267	0.165	87					
414.1	0.264	88					
414.938	0.269	89					
415.796	0.292	90					
416.666	0.291	91					
418.021	1.303	92					
419.152	0.341	93					
420.164	0.209	94					
421.238	0.267	95					
422.154	0.12	96					
423.194	0.269	97					
424.29	0.308	98					
427.317		99					
430.452		100	prosaccade	False	2296.0	False	True
433.823		101	prosaccade	True	2533.0	False	True
437.113		102	prosaccade	False	2433.0	False	True
440.308		103	prosaccade	True	2336.0	False	True
443.465		104	prosaccade	True	2304.0	False	True
446.802		105	prosaccade	False	2480.0	False	True
449.755		106	prosaccade	True	2112.0	False	True
453.182		107	prosaccade	True	2587.0	False	True
456.09		108	prosaccade	True	2061.0	False	True
459.249		109	prosaccade	False	2306.0	False	True
462.336		110	prosaccade	False	2240.0	False	True
465.351		111	prosaccade	True	2183.0	False	True
468.617		112	prosaccade	True	2403.0	False	True
471.601		113	prosaccade	True	2127.0	False	True
475.057		114	prosaccade	False	2604.0	False	True
478.375		115	prosaccade	True	2466.0	False	True
481.409		116	prosaccade	True	2182.0	False	True
484.705		117	prosaccade	True	2434.0	False	True
487.725		118	prosaccade	False	2170.0	False	True
490.619		119	prosaccade	False	2040.0	False	True
492.642		120					
494.144	1.494	121					
495.282	0.497	122					
496.365	0.504	123					
497.362	0.415	124					
498.411	0.459	125					
499.433	0.438	126					
500.45	0.441	127					
501.356	0.32	128					
502.37	0.455	129					
503.297	0.362	130					
504.218	0.334	131					
505.201	0.409	132					
506.052	0.795	133					
507.121	0.271	134					
508.271	0.353	135					
509.451	0.382	136					
510.559	0.308	137					
511.651	0.316	138					
512.781	0.332	139					
515.818		140					
519.023		141	antisaccade	False	2360.0	False	True
521.933		142	antisaccade	False	2071.0	False	True
525.364		143	antisaccade	False	2583.0	False	True
528.36		144	antisaccade	True	2153.0	False	True
531.555		145	antisaccade	False	2343.0	False	True
534.989		146	antisaccade	False	2586.0	False	True
537.975		147	antisaccade	False	2134.0	False	True
541.105		148	antisaccade	True	2271.0	False	True
544.367		149	antisaccade	True	2401.0	False	True
547.662		150	antisaccade	True	2445.0	False	True
550.734		151	antisaccade	False	2249.0	False	True
553.659		152	antisaccade	False	2059.0	False	True
556.613		153	antisaccade	False	2102.0	False	True
559.583		154	antisaccade	False	2109.0	False	True
562.451		155	antisaccade	False	2030.0	False	True
565.379		156	antisaccade	True	2063.0	False	True
568.79		157	antisaccade	True	2567.0	False	True
572.26		158	antisaccade	False	2608.0	False	True
575.708		159	antisaccade	False	2625.0	False	True
578.986		160	antisaccade	False	2417.0	False	True
581.002		161					
582.327	1.312	162					
584.156	1.218	163					
584.976	0.238	164					
585.84	0.301	165					
586.799	0.368	166					
587.733	0.363	167					
588.689	0.382	168					
589.624	0.353	169					
590.578	0.371	170					
591.47	0.325	171					
592.367	0.328	172					
593.293	0.351	173					
594.305	0.956	174					
595.289	0.192	175					
596.452	0.362	176					
597.573	0.321	177					
598.656	0.278	178					
599.745	0.284	179					
600.906	0.395	180					
603.951		181					
606.982		182	prosaccade	False	2195.0	False	True
610.134		183	prosaccade	True	2306.0	False	True
613.23		184	prosaccade	False	2229.0	False	True
616.596		185	prosaccade	True	2509.0	False	True
619.586		186	prosaccade	True	2125.0	False	True
622.487		187	prosaccade	False	2077.0	False	True
625.401		188	prosaccade	True	2060.0	False	True
628.42		189	prosaccade	True	2158.0	False	True
631.289		190	prosaccade	True	2045.0	False	True
634.395		191	prosaccade	True	2256.0	False	True
637.82		192	prosaccade	False	2574.0	False	True
641.106		193	prosaccade	True	2437.0	False	True
644.544		194	prosaccade	False	2581.0	False	True
647.994		195	prosaccade	True	2587.0	False	True
651.259		196	prosaccade	False	2450.0	False	True
654.523		197	prosaccade	False	2407.0	False	True
657.79		198	prosaccade	True	2411.0	False	True
660.73		199	prosaccade	False	2093.0	False	True
664.149		200	prosaccade	True	2577.0	False	True
667.36		201	prosaccade	True	2360.0	False	True
669.384		202					
670.446	1.049	203					
671.37	0.305	204					
