onset	duration	label	start_x	start_y	end_x	end_y	amp	peak_vel	med_vel	avg_vel
0.000	0.600	FIXA	0.0	0.0	0.0	0.0	0.659	31.697	4.109	8.587
0.600	0.267	SACC	0.1	0.0	1.1	0.0	30.687	329.863	89.046	123.280
0.867	0.100	FIXA	1.1	0.0	1.1	0.0	2.010	31.775	28.525	20.100
0.967	0.067	SACC	1.0	0.0	-0.0	0.0	31.415	942.443	487.871	487.871
1.033	0.600	FIXA	-0.0	0.0	-0.0	0.0	0.408	26.652	2.757	5.998
1.633	0.200	SACC	0.0	0.0	1.0	0.0	29.099	347.366	135.489	157.661
1.833	0.167	FIXA	1.0	0.0	0.9	0.0	4.891	45.874	32.357	29.346
