onset	duration	label	start_x	start_y	end_x	end_y	amp	peak_vel	med_vel	avg_vel
0.000	0.600	FIXA	0.0	0.0	0.0	0.0	0.857	41.210	5.342	11.165
0.600	0.267	SACC	0.1	0.0	1.1	0.0	39.898	428.867	115.772	160.280
0.867	0.100	FIXA	1.1	0.0	1.1	0.0	2.613	41.311	37.086	26.132
0.967	0.067	SACC	1.0	0.0	-0.0	0.0	40.843	1225.304	634.299	634.299
1.033	0.600	FIXA	-0.0	0.0	-0.0	0.0	0.531	34.651	3.584	7.798
1.633	0.200	SACC	0.0	0.0	1.0	0.0	37.833	451.623	176.154	204.980
1.833	0.167	FIXA	1.0	0.0	0.9	0.0	6.359	59.642	42.069	38.154
