subject_id	old_subject_id
0001	91
0002	92
0003	98
0004	99
0005	100
0006	101
0007	102
0008	103
0009	104
0010	105
0011	107
0012	109
0013	110
0014	111
0015	112
0016	113
0017	114
0018	115
0019	117
0020	118
0021	119
0022	123
0023	124
0024	125
0025	126
0026	127
